"Waves
(WAVES)";"2.68
USD"
"Waltonchain
(WTC)";"6.33
USD"
"Mixin
(XIN)";"538.29
USD"
"Golem
(GNT)";"0.280272
USD"
"RChain
(RHOC)";"0.641384
USD"
"Stratis
(STRAT)";"2.29
USD"
"Populous
(PPT)";"6.12
USD"
"Status
(SNT)";"0.065210
USD"
"Wanchain
(WAN)";"1.98
USD"
"Hshare
(HSR)";"4.71
USD"
"Mithril
(MITH)";"0.535501
USD"
"DigixDAO
(DGD)";"89.50
USD"
"IOST
(IOST)";"0.020010
USD"
"Bitcoin Private
(BTCP)";"7.95
USD"
"Aion
(AION)";"0.909586
USD"
"MaidSafeCoin
(MAID)";"0.351869
USD"
"Huobi Token
(HT)";"3.17
USD"
"Komodo
(KMD)";"1.48
USD"
"GXChain
(GXS)";"2.55
USD"
"Ardor
(ARDR)";"0.146534
USD"
"Loopring
(LRC)";"0.252332
USD"
"aelf
(ELF)";"0.574382
USD"
"Nebulas
(NAS)";"3.08
USD"
"Ark
(ARK)";"1.24
USD"
"MonaCoin
(MONA)";"2.10
USD"
"ReddCoin
(RDD)";"0.004234
USD"
"Kyber Network
(KNC)";"0.886048
USD"
"FunFair
(FUN)";"0.023416
USD"
"Loom Network
(LOOM)";"0.187987
USD"
"Emercoin
(EMC)";"2.66
USD"
"Gas
(GAS)";"10.46
USD"
"Dentacoin
(DCN)";"0.000326
USD"
"MOAC
(MOAC)";"2.94
USD"
"Power Ledger
(POWR)";"0.282334
USD"
"Dropil
(DROP)";"0.005261
USD"
"WAX
(WAX)";"0.112189
USD"
"Bancor
(BNT)";"2.03
USD"
"Kin
(KIN)";"0.000136
USD"
"Ethos
(ETHOS)";"1.31
USD"
"MCO
(MCO)";"6.39
USD"
"PIVX
(PIVX)";"1.75
USD"
"Cryptonex
(CNX)";"2.24
USD"
"Nuls
(NULS)";"2.43
USD"
"Decentraland
(MANA)";"0.092040
USD"
"Veritaseum
(VERI)";"46.85
USD"
"CyberMiles
(CMT)";"0.136967
USD"
"Paypex
(PAYX)";"1.35
USD"
"QASH
(QASH)";"0.260305
USD"
"Factom
(FCT)";"10.36
USD"
"Polymath
(POLY)";"0.318045
USD"
"ZenCash
(ZEN)";"20.19
USD"
"Elastos
(ELA)";"15.93
USD"
"ZCoin
(XZC)";"15.89
USD"
"TenX
(PAY)";"0.757208
USD"
"Theta Token
(THETA)";"0.123093
USD"
"Gifto
(GTO)";"0.152534
USD"
"Enigma
(ENG)";"1.08
USD"
"Nxt
(NXT)";"0.082118
USD"
"Noah Coin
(NOAH)";"0.002474
USD"
"TrueUSD
(TUSD)";"1.00
USD"
"Cortex
(CTXC)";"0.529195
USD"
"Electroneum
(ETN)";"0.010713
USD"
"Centrality
(CENNZ)";"0.099888
USD"
"Byteball Bytes
(GBYTE)";"121.50
USD"
"SmartCash
(SMART)";"0.073788
USD"
"Substratum
(SUB)";"0.200243
USD"
"Syscoin
(SYS)";"0.141318
USD"
"Nexus
(NXS)";"1.30
USD"
"Scry.info
(DDD)";"0.216844
USD"
"Storm
(STORM)";"0.015856
USD"
"Bibox Token
(BIX)";"0.676954
USD"
"WaykiChain
(WICC)";"0.392065
USD"
"ChainLink
(LINK)";"0.195804
USD"
"Game.com
(GTC)";"0.089880
USD"
"Skycoin
(SKY)";"6.86
USD"
"SALT
(SALT)";"1.01
USD"
"Matrix AI Network
(MAN)";"0.429912
USD"
"Dragonchain
(DRGN)";"0.272327
USD"
"High Performance Blockchain
(HPB)";"1.86
USD"
"ODEM
(ODE)";"0.339229
USD"
"Blocknet
(BLOCK)";"11.22
USD"
"Revain
(R)";"0.308815
USD"
"Fusion
(FSN)";"1.94
USD"
"Civic
(CVC)";"0.167591
USD"
"TokenPay
(TPAY)";"3.71
USD"
"Storj
(STORJ)";"0.420513
USD"
"Santiment Network Token
(SAN)";"0.882863
USD"
"SingularityNET
(AGI)";"0.102579
USD"
"iExec RLC
(RLC)";"0.684093
USD"
"CyberVein
(CVT)";"0.051497
USD"
"Iconomi
(ICN)";"0.543067
USD"
"BitcoinDark
(BTCD)";"41.68
USD"
"MediShares
(MDS)";"0.051610
USD"
"Nucleus Vision
(NCASH)";"0.011924
USD"
"Dai
(DAI)";"0.988217
USD"
"Neblio
(NEBL)";"3.87
USD"
"Metaverse ETP
(ETP)";"1.42
USD"
"Nexo
(NEXO)";"0.091307
USD"
"DeepBrain Chain
(DBC)";"0.033908
USD"
"Holo
(HOT)";"0.000365
USD"
"TaTaTu
(TTU)";"0.490758
USD"
"SmartMesh
(SMT)";"0.032790
USD"
"Achain
(ACT)";"0.083902
USD"
"Particl
(PART)";"4.57
USD"
"Bluzelle
(BLZ)";"0.248044
USD"
"Nexty
(NTY)";"0.000437
USD"
"Time New Bank
(TNB)";"0.019210
USD"
"BnkToTheFuture
(BFT)";"0.072298
USD"
"Request Network
(REQ)";"0.064475
USD"
"Enjin Coin
(ENJ)";"0.058426
USD"
"Gnosis
(GNO)";"39.71
USD"
"Streamr DATAcoin
(DATA)";"0.063699
USD"
"Ignis
(IGNIS)";"0.056926
USD"
"Bottos
(BTO)";"0.085980
USD"
"Aragon
(ANT)";"1.51
USD"
"Cindicator
(CND)";"0.029239
USD"
"THEKEY
(TKY)";"0.008938
USD"
"Docademic
(MTC)";"0.194600
USD"
"Ruff
(RUFF)";"0.044197
USD"
"Dynamic Trading Rights
(DTR)";"0.032712
USD"
"Dent
(DENT)";"0.003765
USD"
"SONM
(SNM)";"0.109854
USD"
"Credits
(CS)";"0.284655
USD"
"Vertcoin
(VTC)";"0.870417
USD"
"Ambrosus
(AMB)";"0.270959
USD"
"Groestlcoin
(GRS)";"0.550698
USD"
"Quantstamp
(QSP)";"0.062491
USD"
"Arcblock
(ABT)";"0.409509
USD"
"Ubiq
(UBQ)";"0.918217
USD"
"DEW
(DEW)";"0.367931
USD"
"Asch
(XAS)";"0.407712
USD"
"SIRIN LABS Token
(SRN)";"0.163682
USD"
"True Chain
(TRUE)";"0.802791
USD"
"Safe Exchange Coin
(SAFEX)";"0.024849
USD"
"BOScoin
(BOS)";"0.083070
USD"
"Storiqa
(STQ)";"0.004596
USD"
"Peercoin
(PPC)";"1.49
USD"
"Raiden Network Token
(RDN)";"0.730020
USD"
"PRIZM
(PZM)";"1.07
USD"
"Cube
(AUTO)";"0.005715
USD"
"DigitalNote
(XDN)";"0.005169
USD"
"Aston
(ATX)";"0.043220
USD"
"Po.et
(POE)";"0.015320
USD"
"Pillar
(PLR)";"0.136625
USD"
"All Sports
(SOC)";"0.041725
USD"
"CRYPTO20
(C20)";"0.872788
USD"
"POA Network
(POA)";"0.156725
USD"
"Bread
(BRD)";"0.386647
USD"
"ZClassic
(ZCL)";"7.63
USD"
"Bitcoin Interest
(BCI)";"1.82
USD"
"EDUCare
(EKT)";"0.074067
USD"
"BLOCKv
(VEE)";"0.016885
USD"
"Genaro Network
(GNX)";"0.134456
USD"
"GoChain
(GO)";"0.066454
USD"
"Mainframe
(MFT)";"0.015343
USD"
"Sakura Bloom
(SKB)";"0.012767
USD"
"Telcoin
(TEL)";"0.001051
USD"
"eosDAC
(EOSDAC)";"0.048881
USD"
"Trade Token
(TIO)";"0.352805
USD"
"Tokenomy
(TEN)";"0.215973
USD"
"SophiaTX
(SPHTX)";"0.161333
USD"
"Selfkey
(KEY)";"0.012509
USD"
"KickCoin
(KICK)";"0.060267
USD"
"Metal
(MTL)";"1.18
USD"
"Crypterium
(CRPT)";"0.374972
USD"
"Primecoin
(XPM)";"1.23
USD"
"Nectar
(NEC)";"0.356747
USD"
"Edgeless
(EDG)";"0.304032
USD"
"bitCNY
(BITCNY)";"0.156450
USD"
"IHT Real Estate Protocol
(IHT)";"0.058423
USD"
"Odyssey
(OCN)";"0.006065
USD"
"Electra
(ECA)";"0.001093
USD"
"Unobtanium
(UNO)";"144.01
USD"
"BridgeCoin
(BCO)";"1.06
USD"
"GameCredits
(GAME)";"0.434462
USD"
"Genesis Vision
(GVT)";"7.44
USD"
"DATA
(DTA)";"0.005948
USD"
"Apex
(CPX)";"0.063339
USD"
"LGO Exchange
(LGO)";"0.227281
USD"
"IoTeX
(IOTX)";"0.023874
USD"
"Ink
(INK)";"0.058309
USD"
"Endor Protocol
(EDR)";"0.051233
USD"
"ETHLend
(LEND)";"0.024225
USD"
"Burst
(BURST)";"0.013707
USD"
"Red Pulse
(RPX)";"0.032659
USD"
"WhiteCoin
(XWC)";"0.105527
USD"
"NKN
(NKN)";"0.170382
USD"
"Rock
(RKT)";"0.065865
USD"
"AdEx
(ADX)";"0.350961
USD"
"BitBay
(BAY)";"0.025109
USD"
"MinexCoin
(MNX)";"6.38
USD"
"Einsteinium
(EMC2)";"0.115844
USD"
"Stakenet
(XSN)";"0.358672
USD"
"OriginTrail
(TRAC)";"0.093574
USD"
"Eidoo
(EDO)";"0.856079
USD"
"DAEX
(DAX)";"0.067526
USD"
"NavCoin
(NAV)";"0.398213
USD"
"Ternio
(TERN)";"0.059568
USD"
"QuarkChain
(QKC)";"0.067700
USD"
"Bitcore
(BTX)";"1.54
USD"
"TokenCard
(TKN)";"0.988078
USD"
"Hydro
(HYDRO)";"0.007741
USD"
"UTRUST
(UTK)";"0.076594
USD"
"IoT Chain
(ITC)";"0.391571
USD"
"Distributed Credit Chain
(DCC)";"0.026948
USD"
"Internet Node Token
(INT)";"0.079300
USD"
"Viacoin
(VIA)";"1.02
USD"
"Jibrel Network
(JNT)";"0.145188
USD"
"NANJCOIN
(NANJ)";"0.001184
USD"
"Gulden
(NLG)";"0.057101
USD"
"Tao
(XTO)";"0.685378
USD"
"SpankChain
(SPANK)";"0.072635
USD"
"Litecoin Cash
(LCC)";"0.039081
USD"
"SaluS
(SLS)";"21.84
USD"
"SwftCoin
(SWFTC)";"0.006006
USD"
"LoyalCoin
(LYL)";"0.004421
USD"
"OST
(OST)";"0.060481
USD"
"ATN
(ATN)";"0.253314
USD"
"Wagerr
(WGR)";"0.116542
USD"
"PCHAIN
(PAI)";"0.048427
USD"
"Delphy
(DPY)";"0.487588
USD"
"Quantum Resistant Ledger
(QRL)";"0.401125
USD"
"SingularDTV
(SNGLS)";"0.034167
USD"
"AirSwap
(AST)";"0.136784
USD"
"Cobinhood
(COB)";"0.055623
USD"
"Universa
(UTNP)";"0.011039
USD"
"Eximchain
(EXC)";"0.301172
USD"
"Hydro Protocol
(HOT)";"0.028759
USD"
"Cryptaur
(CPT)";"0.002972
USD"
"Ripio Credit Network
(RCN)";"0.041012
USD"
"district0x
(DNT)";"0.033725
USD"
"Republic Protocol
(REN)";"0.035133
USD"
"Aeon
(AEON)";"1.26
USD"
