"Fantomcoin
(FCN)";"0.202372
USD"
"Cashcoin
(CASH)";"0.030696
USD"
"Starbase
(STAR)";"0.007753
USD"
"RussiaCoin
(RC)";"0.166848
USD"
"Ethbits
(ETBS)";"0.997221
USD"
"Bitcloud
(BTDX)";"0.057242
USD"
"Ixcoin
(IXC)";"0.062705
USD"
"E-coin
(ECN)";"3.55
USD"
"e-Gulden
(EFL)";"0.072820
USD"
"EventChain
(EVC)";"0.039328
USD"
"AudioCoin
(ADC)";"0.001309
USD"
"Tokenbox
(TBX)";"0.102587
USD"
"BlueCoin
(BLU)";"0.001994
USD"
"RefToken
(REF)";"1.54
USD"
"EverGreenCoin
(EGC)";"0.082572
USD"
"Version
(V)";"0.002181
USD"
"ChainCoin
(CHC)";"0.071867
USD"
"PHI Token
(PHI)";"0.215470
USD"
"Chronologic
(DAY)";"1.41
USD"
"Monster Byte
(MBI)";"0.060000
USD"
"Argentum
(ARG)";"0.102028
USD"
"42-coin
(42)";"22769.50
USD"
"Kobocoin
(KOBO)";"0.037399
USD"
"Farad
(FRD)";"0.006557
USD"
"NobleCoin
(NOBL)";"0.000374
USD"
"Sovereign Hero
(HERO)";"182.15
USD"
"DigiPulse
(DGPT)";"0.380378
USD"
"Woodcoin
(LOG)";"0.104017
USD"
"WorldCoin
(WDC)";"0.006918
USD"
"KekCoin
(KEK)";"0.077160
USD"
"Photon
(PHO)";"0.000034
USD"
"Bytecent
(BYC)";"0.356631
USD"
"Commodity Ad Network
(CDX)";"0.023761
USD"
"Canada eCoin
(CDN)";"0.007845
USD"
"HireMatch
(HIRE)";"0.022816
USD"
"Universe
(UNI)";"0.025445
USD"
"IncaKoin
(NKA)";"0.000046
USD"
"Bowhead
(AHT)";"0.090124
USD"
"Tidex Token
(TDX)";"0.075554
USD"
"MagicCoin
(MAGE)";"0.096419
USD"
"Speed Mining Service
(SMS)";"7.09
USD"
"WandX
(WAND)";"0.057340
USD"
"NuShares
(NSR)";"0.000249
USD"
"ConnectJob
(CJT)";"0.006128
USD"
"Orbitcoin
(ORB)";"0.214216
USD"
"Unitus
(UIS)";"0.011655
USD"
"Cazcoin
(CAZ)";"0.021066
USD"
"Etheriya
(RIYA)";"0.424722
USD"
"Dix Asset
(DIX)";"0.000007
USD"
"Masternodecoin
(MTNC)";"0.012403
USD"
"EquiTrader
(EQT)";"0.058485
USD"
"InPay
(INPAY)";"0.061073
USD"
"Bitzeny
(ZNY)";"0.008130
USD"
"MetalCoin
(METAL)";"0.007541
USD"
"Musiconomi
(MCI)";"0.020796
USD"
"Motocoin
(MOTO)";"0.028908
USD"
"Manna
(MANNA)";"0.002057
USD"
"The Cypherfunks
(FUNK)";"0.000011
USD"
"UniCoin
(UNIC)";"0.180697
USD"
"MarteXcoin
(MXT)";"0.177911
USD"
"Renos
(RNS)";"0.015582
USD"
"Growers International
(GRWI)";"0.431922
USD"
"SmileyCoin
(SMLY)";"0.000019
USD"
"Authorship
(ATS)";"0.004984
USD"
"Onix
(ONX)";"0.004488
USD"
"Shekel
(JEW)";"0.004307
USD"
"PopularCoin
(POP)";"0.000125
USD"
"Trollcoin
(TROLL)";"0.000821
USD"
"Moin
(MOIN)";"0.061333
USD"
"Ethereum Movie Venture
(EMV)";"0.069945
USD"
"Advanced Technology Coin
(ARC)";"0.018299
USD"
"Tattoocoin (Standard Edition)
(TSE)";"0.005008
USD"
"FLiK
(FLIK)";"0.007355
USD"
"NetCoin
(NET)";"0.000561
USD"
"StarCredits
(STRC)";"0.097708
USD"
"Zennies
(ZENI)";"0.000436
USD"
"InsaneCoin
(INSN)";"0.019968
USD"
"Synergy
(SNRG)";"0.111751
USD"
"DCORP Utility
(DRPU)";"0.120312
USD"
"Wild Crypto
(WILD)";"0.017218
USD"
"BTCtalkcoin
(TALK)";"0.006545
USD"
"HoboNickels
(HBN)";"0.006482
USD"
"Numus
(NMS)";"0.149583
USD"
"PetroDollar
(XPD)";"0.006409
USD"
"FujiCoin
(FJC)";"0.000312
USD"
"Unify
(UNIFY)";"0.022869
USD"
"bitSilver
(BITSILVER)";"18.68
USD"
"Opal
(OPAL)";"0.026241
USD"
"QubitCoin
(Q2C)";"0.001558
USD"
"Fantasy Cash
(FANS)";"0.083523
USD"
"Equal
(EQL)";"0.001167
USD"
"Qvolta
(QVT)";"0.051915
USD"
"Phoenixcoin
(PXC)";"0.005485
USD"
"SuperCoin
(SUPER)";"0.007450
USD"
"Startcoin
(START)";"0.008123
USD"
"Advanced Internet Blocks
(AIB)";"0.011202
USD"
"BelugaPay
(BBI)";"0.068740
USD"
"bitBTC
(BITBTC)";"6610.26
USD"
"LanaCoin
(LANA)";"0.000374
USD"
"Triangles
(TRI)";"2.97
USD"
"Bitradio
(BRO)";"0.051408
USD"
"Piggycoin
(PIGGY)";"0.000686
USD"
"Ultimate Secure Cash
(USC)";"0.031859
USD"
"Skeincoin
(SKC)";"0.024932
USD"
"Elementrem
(ELE)";"0.012465
USD"
"Halcyon
(HAL)";"0.053476
USD"
